	    save HW registers	, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 379
	    the first wave in the threadgroup	 , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 413
		save SGPRs	, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 419
		save first 4 VGPR, then LDS save could use   , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 466
		save LDS	, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 493
		save VGPRs  - set the Rest VGPRs	, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 575
vgpr < 4, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 648
vgpr < 4, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 663
			restore routine					  , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 683
	    Setup Resource Contants    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 687
	    global mem offset		, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 700
	    the first wave in the threadgroup	 , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 703
		restore LDS	, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 707
		restore VGPRs	    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 741
vgpr < 4, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 786
		restore SGPRs	    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 802
	    restore HW registers    , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 840
			the END						  , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 918
			the helper functions				  , /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 927
lane < 4, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 997
vgpr < n_vgprs, /home/luyang/Documents/linux/drivers/gpu/drm/amd/amdkfd/cwsr_trap_handler_gfx9.asm: 1011
then, /home/luyang/Documents/linux/scripts/dummy-tools/nm: 17
then, /home/luyang/Documents/linux/scripts/dummy-tools/nm: 26
